Series Name,Series Code,Country Name,Country Code,2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Afghanistan,AFG,..,..,..,..,..,..,..,11297466348,14483632041,16267323505,18225512193,18502504965,18834093829,17785739176,16937442593,17641172246,16815188085,17645416937,18515111650,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Albania,ALB,3981527111,5152981409,6556504561,7323051429,8188155222,9588090223,11302650956,10282647139,10183467608,10830705800,10160810980,10886637102,11106690977,9411883298,9903307979,10668378678,12379624247,12379000501,11942964386,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Algeria,DZA,42280569595,49519148276,61364338877,68516462250,78055485273,94987473536,1.20362E+11,1.04326E+11,1.2348E+11,1.46162E+11,1.53721E+11,1.55653E+11,1.60526E+11,1.3126E+11,1.32803E+11,1.3834E+11,1.36879E+11,1.35689E+11,1.19937E+11,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Angola,AGO,9936397839,12165153407,13016798168,18449620396,26037124048,30011585871,29640804010,41020056483,42503896041,57714477309,71416869662,82586459264,97222549045,89980936747,78386338347,88718230842,64167495601,56232452982,36901999783,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Argentina,ARG,74851512163,1.01637E+11,1.21896E+11,1.4709E+11,1.9137E+11,2.42037E+11,3.03834E+11,2.77269E+11,3.5147E+11,4.41168E+11,4.52035E+11,4.57947E+11,4.36577E+11,5.04983E+11,4.70669E+11,5.50286E+11,4.36649E+11,3.71323E+11,3.27255E+11,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Armenia,ARM,2062124510,2467615538,3203973018,4419907501,5853473812,8521310859,10947117375,7921368482,8398953235,9080777287,9592549595,10304677964,10623317720,9466501413,9300816604,10353825750,10948267394,11892705734,10692827285,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Aruba,ABW,1604369481,1756977914,1919479328,1613088692,2063759859,1954882074,2342906855,2159273448,2007133004,2034911520,2161265484,2280666903,2399613890,2522249629,2529354467,2590207583,2648429842,..,..,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Australia,AUS,3.15331E+11,3.73929E+11,4.90061E+11,5.41251E+11,5.76695E+11,6.51611E+11,8.01289E+11,7.23506E+11,8.85868E+11,1.07803E+12,1.21357E+12,1.2451E+12,1.14243E+12,1.05428E+12,9.44782E+11,1.03298E+12,1.09829E+12,1.07353E+12,1.03136E+12,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Austria,AUT,1.76241E+11,2.16414E+11,2.49191E+11,2.61708E+11,2.81024E+11,3.24032E+11,3.61829E+11,3.29533E+11,3.25822E+11,3.57567E+11,3.37237E+11,3.53223E+11,3.62883E+11,3.09295E+11,3.2513E+11,3.37051E+11,3.67736E+11,3.61253E+11,3.46404E+11,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Azerbaijan,AZE,4696540038,5558955212,6340923400,8030292164,11661776030,17787707320,27771894605,29804599009,35043180150,42950857135,48246071042,52656198374,57585097967,43042461045,29454926692,31514239532,33525967041,36150816053,35223025023,..
