Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Afghanistan,AFG,..,..,1958.447627,2062.059176,2110.829568,2128.125938,2023.834656,2096.093111,2109.929296,2167.704111,2076.13838,1665.805842
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Albania,ALB,2549.725468,3860.819889,10521.04271,10574.09366,11260.99806,11659.06252,12082.74249,12773.2684,13495.54182,13973.04584,13759.54243,15709.25126
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Algeria,DZA,6974.076379,8510.359279,13347.3628,13104.7371,13058.12457,12071.81418,11685.45142,11809.48303,12006.01024,12118.0045,11438.69116,12128.27499
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Angola,AGO,3268.782236,3271.552614,7389.31496,7643.921944,8123.048065,7274.090475,7027.146634,7216.061373,7042.923829,6881.076241,6362.636076,6491.125578
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Antigua and Barbuda,ATG,11436.01697,17037.38088,20208.93929,19437.61697,19748.62538,19674.5633,20790.41917,20777.87403,22612.88181,24007.86848,19276.56881,21010.00357
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Argentina,ARG,7183.583826,11542.986,19641.35286,20131.68042,19683.77151,20105.19899,20307.87005,23597.11775,23290.67574,23003.27718,20763.28855,23649.6703
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Armenia,ARM,2756.573324,2572.42082,9267.397006,9822.947441,10114.93984,10132.31898,10966.85333,12509.63961,13547.5314,14921.81932,14089.23938,15592.48736
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Aruba,ABW,20753.52765,30746.65275,34786.59399,36932.18416,36846.84829,37343.91296,37583.84032,38865.1882,41679.23819,42501.64155,34971.00991,42698.35987
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Australia,AUS,17373.04899,26532.56436,42847.29675,45907.75468,46882.18557,46251.40868,47249.43482,48400.24579,50192.95733,51810.77671,53358.20808,56281.37865
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Austria,AUT,19461.99694,29376.01974,46457.34578,47922.04912,48799.71547,49865.90394,52684.01711,54172.98679,56960.09143,58076.3488,55685.97029,58430.64025
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Azerbaijan,AZE,5253.446608,3381.66621,15957.71885,17188.94551,17443.87826,14938.40113,14371.02274,14121.40694,14549.0619,15051.56128,14478.52445,15854.55084
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,"Bahamas, The",BHS,20326.62822,25678.76727,30658.40063,30328.94448,31761.27531,32260.82696,32341.20981,34357.27066,35564.95145,36645.82112,28119.24723,33188.73247
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Bahrain,BHR,25731.16492,39360.43209,53778.48867,53672.10422,52073.98462,45900.70303,45281.30192,48929.44701,50106.7864,51869.45545,50468.2538,54256.77143
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Bangladesh,BGD,979.9480034,1574.33157,3493.922821,3734.725651,3997.286701,4216.719739,4558.563895,4830.776083,5246.923588,5697.949218,5897.588948,6493.809393
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Barbados,BRB,9647.546397,13022.00962,15726.2358,15747.13709,15575.95073,15947.42152,16370.74562,16198.96216,16386.19132,16628.16857,14561.85925,15110.95733
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Belarus,BLR,5226.139654,5801.75813,18105.28672,18994.19019,19008.06102,18095.66518,17785.9432,18356.10077,19428.00746,20092.88037,20278.47395,21698.57409
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Belgium,BEL,18678.01029,27784.5715,42290.76205,43671.11959,44929.68559,46200.90445,48597.39998,50442.27054,52535.23222,54278.38945,53096.14142,58905.16378
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Belize,BLZ,4531.423662,7559.295954,9113.474853,9314.225009,9246.723753,9317.196836,9161.625047,8873.754025,9008.736618,9409.597799,8124.983932,9626.573571
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Benin,BEN,1220.214582,1724.54671,2427.432659,2590.925045,2745.858612,2792.609645,2901.264671,2933.837384,3112.797453,3289.655169,3360.987416,3649.04065
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Bermuda,BMU,34870.74775,53921.77368,67453.82052,68993.22749,68775.44674,71873.22806,76362.05141,81834.95587,83368.62255,85129.07046,80286.44209,88185.46587
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Bhutan,BTN,1480.700363,2710.776229,7697.506415,7785.214064,8462.798599,9303.945982,10275.16059,10986.88814,11502.15678,12295.18374,11124.66713,11983.31697
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Bolivia,BOL,2294.728914,3364.024366,5814.070135,6500.876807,6920.778861,6992.127581,7345.826843,8244.933445,8668.553853,8888.701149,8100.529346,8846.081965
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Bosnia and Herzegovina,BIH,..,4127.089581,10104.39951,10791.45999,11150.06552,11687.29029,12720.5612,13402.43397,14581.36234,15418.97992,15336.9107,17376.60824
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Botswana,BWA,5817.927639,8922.185347,12069.46877,12833.27836,14338.57408,13420.5066,15277.04232,14656.77299,15319.52686,15756.04378,14287.51059,16304.15336
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Brazil,BRA,6617.944703,8994.743062,14994.34347,15535.72377,15664.80174,14692.63231,14208.16111,14477.86177,14968.85475,15304.9077,14789.87856,16031.08617
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Brunei Darussalam,BRN,55168.25088,66212.60982,86588.60952,82305.27625,80027.9853,61572.6217,55477.4694,60173.05113,61075.28206,64016.75443,64977.30631,66055.2483
