,Country Name,Country Code,Region,Happiness Score,Life Expectancy,Suicide Rate,Unemployment Rate,Net National Income per capita,GDP per capita,Consumer Price Inflation
1,Albania,ALB,europe,5.199,79.0034,4.6,14.00000019,10948438941,13365200472,2277370027
2,Algeria,DZA,africa,5.122,75.9274,2.56,10.53519993,1.34994E+11,1.68558E+11,33195800004
4,Armenia,ARM,europe,5.399,74.9018,4.06,18.17000008,10392423379,11740832933,2110667535
5,Australia,AUS,asia,7.162,82.5995122,12.68,5.562000084,1.04077E+12,1.34084E+12,2.70124E+11
6,Austria,AUT,europe,7.163,81.61268293,15.44,5.313999939,3.40093E+11,4.18936E+11,76394200001
7,Azerbaijan,AZE,europe,5.173,72.313,4.04,4.942000008,34737682073,45418924965,10614874103
8,Bahrain,BHR,asia,6.647,79.7054,8.14,1.194599986,26856739735,35042942340,6210127661
9,Bangladesh,BGD,asia,5.155,71.7484,3.52,4.387400055,2.43706E+11,2.85337E+11,39015800004
10,Belarus,BLR,europe,5.821,73.99658537,23.16,5.250000095,46461531799,56668979386,11290946885
11,Belgium,BEL,europe,6.805,81.50292683,18.76,6.941999912,4.14094E+11,5.04059E+11,92467200002
12,Benin,BEN,africa,4.623,59.8732,7.96,1.683800006,11425979248,12912995417,2277632200
13,Bolivia,BOL,americas,5.6,67.6472,6.38,3.519999981,31366880759,37126587477,6600039652
15,Botswana,BWA,africa,3.471,65.3842,17.54,21.56939964,12296763481,15689265956,2706147634
16,Brazil,BRA,americas,6.293,74.8096,6.48,11.42200012,1.62634E+12,1.89033E+12,3.60442E+11
17,Bulgaria,BGR,europe,5.371,74.86341463,9.84,6.462000084,49409904160,59842950818,10156399344
18,Burkina Faso,BFA,africa,4.67,59.5586,7.72,4.540200043,12200703809,14168141305,2366431855
19,Cambodia,KHM,asia,4.64,70.373,5,0.308000005,18786419945,22381009185,3609990860
20,Cameroon,CMR,africa,5.048,60.693,9.12,3.596200037,29347365226,36353587470,6442046583
21,Canada,CAN,americas,7.025,81.9595122,12.34,6.347999954,1.33319E+12,1.64022E+12,3.11302E+11
22,Chad,TCD,africa,4.251,52.4128,6.64,1.109399986,7785416748,10720536841,2190078444
23,Chile,CHL,americas,6.172,80.1268,9.42,6.946000004,2.13031E+11,2.6843E+11,48499400002
24,China,CHN,asia,5.585,77.431,8.12,4.480000114,9.44229E+12,1.2556E+13,2.21232E+12
25,Colombia,COL,americas,5.781,76.5748,4.18,8.98599987,2.57018E+11,3.091E+11,58696400004
28,Costa Rica,CRI,americas,6.582,79.3666,7.16,9.372000122,54198816816,60528562494,11288383532
29,Croatia,HRV,europe,6.125,77.92390244,16.5,11.10800018,46986554545,56721787651,10048556614
30,Cyprus,CYP,europe,6.221,81.2258,4.16,10.86999998,19408920088,23088769470,3981838012
32,Denmark,DNK,europe,7.636,81.01268293,11.04,5.65,2.83347E+11,3.3025E+11,60534600001
33,Dominican Republic,DOM,americas,5.737,73.1624,5.72,6.588000107,72221551919,80272839769,14232965053
34,Ecuador,ECU,americas,5.533,76.983,8.54,3.879999924,81429305153,1.03839E+11,19858076200
35,"Egypt, Arab Rep.",EGY,africa,4.288,71.0708,3.1,10.97199993,2.56882E+11,2.90067E+11,65873400013
36,El Salvador,SLV,americas,6.12,72.2528,6.16,4.198000049,20462612184,25102170000,4687648001
37,Estonia,EST,europe,6.341,78.04292683,16.1,5.706000042,22295188240,27118919715,4578152420
38,Eswatini,SWZ,africa,4.396,57.9066,31.24,22.88619995,3358320838,4288547704,812649138.5
39,Ethiopia,ETH,africa,4.241,64.8258,5.44,2.301000023,65164026333,80167736877,12917867005
40,Finland,FIN,europe,7.821,81.65170732,15.32,8.178000069,2.08378E+11,2.55035E+11,46906800001
41,France,FRA,europe,6.687,82.59463415,14.66,9.448000144,2.18876E+12,2.60543E+12,4.87838E+11
42,Gabon,GAB,africa,4.958,66.072,8.92,20.69880066,9766551942,15415643791,2876621545
43,"Gambia, The",GMB,africa,5.164,63.0594,4.9,9.484799957,1158688946,1570389083,275635379.4
44,Georgia,GEO,europe,4.973,73.4494,9.88,14.25799999,13238245852,16281196954,2990790115
45,Germany,DEU,europe,7.034,80.96195122,12.82,3.801999998,3.10843E+12,3.67619E+12,6.71518E+11
46,Ghana,GHA,africa,4.872,63.988,6.94,5.029799938,46660750932,60322988545,9881313696
48,Guatemala,GTM,americas,6.262,72.5728,5.8,2.403999996,59588092018,70078498342,12437237318
50,Honduras,HND,americas,6.022,72.6924,2.44,5.952000046,20002130212,22998275597,4195953560
52,Hungary,HUN,europe,6.086,75.96682927,18.08,4.642000008,1.15211E+11,1.4429E+11,25034800002
54,India,IND,asia,3.777,70.368,12.34,5.363199902,2.20399E+12,2.51687E+12,4.20718E+11
55,Indonesia,IDN,asia,5.24,70.0578,2.4,4.142000103,7.8316E+11,9.93944E+11,1.72171E+11
56,"Iran, Islamic Rep.",IRN,asia,4.888,75.7986,5.88,11.78999977,2.79916E+11,3.93645E+11,81642600015
57,Iraq,IRQ,asia,4.941,70.3862,3.86,12.07880001,1.51716E+11,1.96319E+11,33354800000
58,Ireland,IRL,europe,7.041,82.03414634,9.76,7.13599987,1.87071E+11,3.42461E+11,58355000000
59,Israel,ISR,asia,7.364,82.52341463,5.1,4.413999987,3.01315E+11,3.52585E+11,60682800000
60,Italy,ITA,europe,6.467,83.11560976,6.84,11.07199974,1.61425E+12,1.95575E+12,3.67328E+11
62,Jamaica,JAM,americas,5.85,71.977,2.28,11.02400007,13281619510,14927319548,2837787192
63,Japan,JPN,asia,6.039,84.08917073,17.12,2.820000028,3.84952E+12,4.90812E+12,8.88986E+11
64,Jordan,JOR,asia,4.152,75.5092,1.54,16.31599979,38633817007,41690571586,7717403590
