,Country Name,Country Code,Region,Happiness Score,Life Expectancy,Suicide Rate,Unemployment Rate,Inflation,Net National Income Total ($) billions,GDP Total ($) billions
0,Albania,ALB,Europe,5.199,79.0034,4.6,14.00000019,1.726728005,10.95,13.37
1,Algeria,DZA,Africa,5.122,75.9274,2.56,10.53519993,4.599003227,134.99,168.56
2,Armenia,ARM,Europe,5.399,74.9018,4.06,18.17000008,1.452263466,10.39,11.74
3,Australia,AUS,Asia,7.162,82.5995122,12.68,5.562000084,1.651234779,1040.77,1340.84
4,Austria,AUT,Europe,7.163,81.61268293,15.44,5.313999939,1.479739932,340.09,418.94
5,Azerbaijan,AZE,Europe,5.173,72.313,4.04,4.942000008,6.85721955,34.74,45.42
6,Bahrain,BHR,Asia,6.647,79.7054,8.14,1.194599986,1.823125727,26.86,35.04
7,Bangladesh,BGD,Asia,5.155,71.7484,3.52,4.387400055,5.709098782,243.71,285.34
8,Belarus,BLR,Europe,5.821,73.99658537,23.16,5.250000095,8.374673188,46.46,56.67
9,Belgium,BEL,Europe,6.805,81.50292683,18.76,6.941999912,1.630247446,414.09,504.06
10,Benin,BEN,Africa,4.623,59.8732,7.96,1.683800006,0.226785042,11.43,12.91
11,Bolivia,BOL,Americas,5.6,67.6472,6.38,3.519999981,2.923437541,31.37,37.13
12,Botswana,BWA,Africa,3.471,65.3842,17.54,21.56939964,3.039230079,12.3,15.69
13,Brazil,BRA,Americas,6.293,74.8096,6.48,11.42200012,5.722648879,1626.34,1890.33
14,Bulgaria,BGR,Europe,5.371,74.86341463,9.84,6.462000084,1.415317447,49.41,59.84
15,Burkina Faso,BFA,Africa,4.67,59.5586,7.72,4.540200043,0.274286618,12.2,14.17
16,Cambodia,KHM,Asia,4.64,70.373,5.0,0.308000005,2.311473488,18.79,22.38
17,Cameroon,CMR,Africa,5.048,60.693,9.12,3.596200037,1.543499629,29.35,36.35
18,Canada,CAN,Americas,7.025,81.9595122,12.34,6.347999954,1.673675947,1333.19,1640.22
19,Chad,TCD,Africa,4.251,52.4128,6.64,1.109399986,1.070053861,7.79,10.72
20,Chile,CHL,Americas,6.172,80.1268,9.42,6.946000004,3.062024026,213.03,268.43
21,China,CHN,Asia,5.585,77.431,8.12,4.480000114,2.000837239,9442.29,12556.0
22,Colombia,COL,Americas,5.781,76.5748,4.18,8.98599987,4.716238663,257.02,309.1
23,Costa Rica,CRI,Americas,6.582,79.3666,7.16,9.372000122,1.34551421,54.2,60.53
24,Croatia,HRV,Europe,6.125,77.92390244,16.5,11.10800018,0.362363691,46.99,56.72
25,Cyprus,CYP,Europe,6.221,81.2258,4.16,10.86999998,-0.261707134,19.41,23.09
26,Denmark,DNK,Europe,7.636,81.01268293,11.04,5.65,0.684181473,283.35,330.25
27,Dominican Republic,DOM,Americas,5.737,73.1624,5.72,6.588000107,2.221101479,72.22,80.27
28,Ecuador,ECU,Americas,5.533,76.983,8.54,3.879999924,1.230831145,81.43,103.84
29,"Egypt, Arab Rep.",EGY,Africa,4.288,71.0708,3.1,10.97199993,15.44899406,256.88,290.07
30,El Salvador,SLV,Americas,6.12,72.2528,6.16,4.198000049,0.410134555,20.46,25.1
31,Estonia,EST,Europe,6.341,78.04292683,16.1,5.706000042,1.757436118,22.3,27.12
32,Eswatini,SWZ,Africa,4.396,57.9066,31.24,22.88619995,5.286594539,3.36,4.29
