,Country Name,Happiness score,Unnamed: 0,Country Code,LifeExpMean,SuicideMean,UnempMean
0,Finland,7.821,55.0,FIN,81.651707316,15.32,8.1780000686
1,Denmark,7.636,43.0,DNK,81.012682926,11.04,5.65
2,Iceland,7.557,70.0,ISL,82.67170731600001,12.44,3.1820000172
3,Switzerland,7.512,152.0,CHE,83.54195122,14.54,4.7240000724
4,Netherlands,7.415,112.0,NLD,81.751219512,11.8,4.9860000612
5,Luxembourg,7.404,94.0,LUX,82.401463414,10.820000000000002,5.932000065
6,Sweden,7.384,151.0,SWE,82.51804878200001,14.98,6.865999889399999
7,Norway,7.365,118.0,NOR,82.60780488,12.2,4.125999974999999
8,Israel,7.364,76.0,ISR,82.523414632,5.1,4.4139999866
9,New Zealand,7.2,113.0,NZL,81.65873170799999,11.8,4.7479999542
10,Austria,7.163,7.0,AUT,81.612682926,15.439999999999998,5.313999939
11,Australia,7.162,6.0,AUS,82.599512196,12.68,5.562000083999999
12,Ireland,7.041,75.0,IRL,82.034146342,9.760000000000002,7.1359998702
13,Germany,7.034,60.0,DEU,80.96195122,12.82,3.8019999982
14,Canada,7.025,29.0,CAN,81.959512196,12.34,6.3479999542000005
15,United States,6.977,167.0,USA,78.63902439,15.439999999999998,4.4160000802
16,United Kingdom,6.943,166.0,GBR,81.165853658,8.3,4.436000013599999
17,Czechia,6.92,,,,,
18,Belgium,6.805,14.0,BEL,81.50292683,18.76,6.9419999124
19,France,6.687,56.0,FRA,82.594634148,14.66,9.448000144400002
20,Bahrain,6.647,10.0,BHR,79.7054,8.14,1.1945999862
21,Slovenia,6.63,140.0,SVN,81.177560976,19.7,6.6159999848
22,Costa Rica,6.582,38.0,CRI,79.3666,7.159999999999999,9.3720001216
23,United Arab Emirates,6.576,165.0,ARE,79.483,6.1,2.0900000096
24,Saudi Arabia,6.523,134.0,SAU,77.1316,6.18,5.768599987
25,Taiwan Province of China,6.512,,,,,
26,Singapore,6.48,138.0,SGP,83.11560975600001,9.54,3.7625998974
27,Romania,6.477,129.0,ROU,75.27951219600001,10.34,5.1480000018
28,Spain,6.476,145.0,ESP,83.341463416,7.88,17.651999664
29,Uruguay,6.474,168.0,URY,77.5596,20.58,8.0880000114
30,Italy,6.467,77.0,ITA,83.115609756,6.839999999999999,11.0719997418
31,Kosovo,6.455,,,,,
32,Malta,6.447,100.0,MLT,82.400975612,6.12,4.2700000286
33,Lithuania,6.446,93.0,LTU,75.287317072,30.18,7.2920001032
34,Slovak Republic,6.391,139.0,SVK,77.16536585399999,12.260000000000002,8.313999938399999
35,Estonia,6.341,51.0,EST,78.042926828,16.1,5.706000042
36,Panama,6.309,121.0,PAN,77.7178,3.04,3.7315999508
37,Brazil,6.293,21.0,BRA,74.8096,6.48,11.422000121
38,Guatemala,6.262,63.0,GTM,72.5728,5.8,2.4039999960000005
39,Kazakhstan,6.234,81.0,KAZ,72.732,20.46,4.8880000114
40,Cyprus,6.221,42.0,CYP,81.22579999999999,4.16,10.8699999816
41,Latvia,6.18,88.0,LVA,74.77219511999999,20.5,8.3900000572
42,Serbia,6.178,136.0,SRB,75.668292684,10.98,13.9039999
43,Chile,6.172,32.0,CHL,80.1268,9.42,6.9460000038
44,Nicaragua,6.165,114.0,NIC,73.5394,4.38,4.4621999262
45,Mexico,6.128,103.0,MEX,74.2898,5.5600000000000005,3.6699999808
46,Croatia,6.125,40.0,HRV,77.92390244,16.5,11.108000184200002
47,Poland,6.123,126.0,POL,77.712682926,13.4,5.1359999178
48,El Salvador,6.12,48.0,SLV,72.25280000000001,6.160000000000001,4.1980000494
49,Kuwait,6.106,85.0,KWT,79.69019999999999,2.72,2.1778000356
50,Hungary,6.086,69.0,HUN,75.966829268,18.08,4.6420000076
51,Mauritius,6.071,102.0,MUS,74.38297560999999,8.76,6.7459999084
52,Uzbekistan,6.063,169.0,UZB,70.9466,8.739999999999998,5.5769999504
53,Japan,6.039,79.0,JPN,84.089170732,17.119999999999997,2.8200000284
54,Honduras,6.022,68.0,HND,72.69239999999999,2.44,5.9520000456
55,Portugal,6.016,127.0,PRT,81.33463414399999,11.96,9.165999793
56,Argentina,5.967,4.0,ARG,76.8368,8.620000000000001,8.608400153999998
57,Greece,5.948,62.0,GRC,81.42780488000001,5.0,21.30600014
58,"Korea, Rep.",5.935,84.0,KOR,82.556097562,27.64,3.684000015
59,Philippines,5.904,125.0,PHL,71.545,2.22,2.5799999714000004
60,Thailand,5.891,156.0,THA,78.35940000000001,8.5,0.722000003
61,Moldova,5.857,104.0,MDA,70.22,15.22,4.4059999468
62,Jamaica,5.85,78.0,JAM,71.977,2.28,11.0240000716
63,Kyrgyz Republic,5.828,86.0,KGZ,71.16048780400001,8.44,7.092800044800001
64,Belarus,5.821,13.0,BLR,73.996585366,23.16,5.2500000954
65,Colombia,5.781,34.0,COL,76.57480000000001,4.18,8.985999870400002
66,Bosnia and Herzegovina,5.768,19.0,BIH,76.8518,10.68,21.544000054
67,Mongolia,5.761,105.0,MNG,70.5242,19.160000000000004,5.855800056600001
68,Dominican Republic,5.737,45.0,DOM,73.1624,5.720000000000001,6.5880001072
69,Malaysia,5.711,97.0,MYS,75.45259999999999,5.279999999999999,3.3019999980000003
70,Bolivia,5.6,18.0,BOL,67.6472,6.38,3.5199999808
71,China,5.585,33.0,CHN,77.43100000000001,8.120000000000001,4.480000114400001
72,Paraguay,5.578,123.0,PRY,73.5116,5.82,5.446000004
73,Peru,5.559,124.0,PER,75.8908,2.72,3.5140000344
74,Montenegro,5.547,106.0,MNE,76.57999999799999,20.96,16.323999978
75,Ecuador,5.533,46.0,ECU,76.98299999999999,8.540000000000001,3.8799999238
76,Vietnam,5.485,172.0,VNM,73.96920000000001,7.640000000000001,1.7539999964
77,Turkmenistan,5.474,162.0,TKM,68.8546,5.94,4.2028000832000005
78,North Cyprus,5.467,,,,,
79,Russian Federation,5.459,130.0,RUS,72.206439022,28.68,5.138000011600001
80,Hong Kong S.A.R. of China,5.425,,,,,
81,Armenia,5.399,5.0,ARM,74.90180000000001,4.0600000000000005,18.170000076
82,Tajikistan,5.377,154.0,TJK,69.99600000000001,4.22,7.0961999892
83,Nepal,5.377,111.0,NPL,68.7358,8.7,3.1151999952
84,Bulgaria,5.371,23.0,BGR,74.863414634,9.84,6.4620000838
85,Libya,5.33,92.0,LBY,72.23859999999999,5.28,19.508000184000004
86,Indonesia,5.24,72.0,IDN,70.0578,2.4,4.142000102999999
87,Ivory Coast,5.235,,,,,
88,North Macedonia,5.199,117.0,MKD,76.001463414,9.32,22.033999632
89,Albania,5.199,1.0,ALB,79.0034,4.6,14.000000191999998
90,South Africa,5.194,143.0,ZAF,65.18960000000001,24.34,26.822000124
91,Azerbaijan,5.173,8.0,AZE,72.31299999999999,4.040000000000001,4.9420000076
92,"Gambia, The",5.164,58.0,GMB,63.0594,4.9,9.484799957399998
