,Country Name,Country Code,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,Albania,ALB,3981527111.0,5152981409.0,6556504561.0,7323051429.0,8188155222.0,9588090223.0,11302650956.0,10282647139.0,10183467608.0,10830705800.0,10160810980.0,10886637102.0,11106690977.0,9411883298.0,9903307979.0,10668378678.0,12379624247.0,12379000501.0
2,Algeria,DZA,42280569595.0,49519148276.0,61364338877.0,68516462250.0,78055485273.0,94987473536.0,120362000000.0,104326000000.0,123480000000.0,146162000000.0,153721000000.0,155653000000.0,160526000000.0,131260000000.0,132803000000.0,138340000000.0,136879000000.0,135689000000.0
5,Angola,AGO,9936397839.0,12165153407.0,13016798168.0,18449620396.0,26037124048.0,30011585871.0,29640804010.0,41020056483.0,42503896041.0,57714477309.0,71416869662.0,82586459264.0,97222549045.0,89980936747.0,78386338347.0,88718230842.0,64167495601.0,56232452982.0
7,Argentina,ARG,74851512163.0,101637000000.0,121896000000.0,147090000000.0,191370000000.0,242037000000.0,303834000000.0,277269000000.0,351470000000.0,441168000000.0,452035000000.0,457947000000.0,436577000000.0,504983000000.0,470669000000.0,550286000000.0,436649000000.0,371323000000.0
8,Armenia,ARM,2062124510.0,2467615538.0,3203973018.0,4419907501.0,5853473812.0,8521310859.0,10947117375.0,7921368482.0,8398953235.0,9080777287.0,9592549595.0,10304677964.0,10623317720.0,9466501413.0,9300816604.0,10353825750.0,10948267394.0,11892705734.0
10,Australia,AUS,315331000000.0,373929000000.0,490061000000.0,541251000000.0,576695000000.0,651611000000.0,801289000000.0,723506000000.0,885868000000.0,1078030000000.0,1213570000000.0,1245100000000.0,1142430000000.0,1054280000000.0,944782000000.0,1032980000000.0,1098290000000.0,1073530000000.0
11,Austria,AUT,176241000000.0,216414000000.0,249191000000.0,261708000000.0,281024000000.0,324032000000.0,361829000000.0,329533000000.0,325822000000.0,357567000000.0,337237000000.0,353223000000.0,362883000000.0,309295000000.0,325130000000.0,337051000000.0,367736000000.0,361253000000.0
12,Azerbaijan,AZE,4696540038.0,5558955212.0,6340923400.0,8030292164.0,11661776030.0,17787707320.0,27771894605.0,29804599009.0,35043180150.0,42950857135.0,48246071042.0,52656198374.0,57585097967.0,43042461045.0,29454926692.0,31514239532.0,33525967041.0,36150816053.0
13,"Bahamas, The",BHS,8120707788.0,8125666981.0,8284253601.0,9003700470.0,9236192251.0,9667837295.0,9717822491.0,9117290789.0,9145158227.0,9150910394.0,9720350965.0,9448680216.0,9850853578.0,10297082626.0,10407458082.0,10904438997.0,11100177202.0,11698187434.0
14,Bahrain,BHR,6689106384.0,7836780373.0,9237354471.0,11038704440.0,12831028206.0,15623404248.0,17469763748.0,15503025977.0,17057341064.0,15952734763.0,21200861879.0,21987210387.0,22809624756.0,23705313737.0,25655048198.0,27648765506.0,28228876805.0,29045694429.0
15,Bangladesh,BGD,52443711581.0,57718616044.0,62716506925.0,66897237097.0,69265458088.0,77484504699.0,90520968068.0,101854000000.0,114700000000.0,127052000000.0,132689000000.0,148533000000.0,168293000000.0,190516000000.0,214724000000.0,238042000000.0,262889000000.0,312361000000.0
16,Barbados,BRB,2698733026.0,2770398385.0,2972480169.0,3271931290.0,3531246709.0,3994664371.0,4036244014.0,3827496435.0,3943064787.0,3851642632.0,3935892569.0,3992402150.0,4007546126.0,4016263534.0,4104182046.0,4236726338.0,4327448754.0,4489740643.0
17,Belarus,BLR,12595751966.0,15445645053.0,19919014961.0,26129596141.0,31758417574.0,38638495952.0,51518780982.0,43015481200.0,48083208434.0,52174673727.0,54741413265.0,61969508041.0,65388946202.0,46274723260.0,38931652020.0,44946828614.0,49128899661.0,53025555442.0
18,Belgium,BEL,218244000000.0,267518000000.0,309954000000.0,322257000000.0,340914000000.0,392551000000.0,431307000000.0,396222000000.0,395173000000.0,421483000000.0,410892000000.0,432083000000.0,442744000000.0,381307000000.0,390682000000.0,412236000000.0,446414000000.0,439831000000.0
19,Belize,BLZ,719200124.9,747081338.5,777642791.0,821201402.5,871286172.3,871626276.7,893768478.4,971703114.3,948399287.7,1028447032.0,1090096120.0,1158681865.0,1231107753.0,1349944910.0,1388913673.0,1426993933.0,1443657536.0,1495857800.0
20,Benin,BEN,3510914345.0,4521142650.0,5259453502.0,5627446204.0,6024673131.0,7014358631.0,8415973685.0,8297569545.0,8092548350.0,9176217799.0,9660107245.0,11027802817.0,11769996954.0,10136365164.0,10528628308.0,11210188927.0,12580552033.0,12674161809.0
22,Bhutan,BTN,461349362.2,527392023.7,597670014.1,705686501.7,776576859.7,1012360069.0,1049535054.0,1043235296.0,1263352305.0,1447534406.0,1436969877.0,1443380915.0,1565354940.0,1625361579.0,1716612753.0,1968937033.0,1989540929.0,2051715786.0
23,Bolivia,BOL,6866991209.0,6880979405.0,7141774718.0,7553517850.0,8882072874.0,10157311638.0,13518051314.0,14474311886.0,16006353000.0,19043045220.0,21009882447.0,23858089977.0,26382781259.0,28016342092.0,29236215907.0,31368792516.0,33611215136.0,34601838144.0
24,Bosnia and Herzegovina,BIH,6502330800.0,8001232114.0,9951308591.0,10480912477.0,11875297972.0,14197200232.0,17473974496.0,15968866460.0,15011379633.0,15885437525.0,14383689146.0,15312693514.0,15366942756.0,13450264320.0,14066684518.0,15039487252.0,16803438967.0,16925594293.0
25,Botswana,BWA,4081416286.0,5184780571.0,6016155660.0,7119711167.0,7038657407.0,7581490664.0,7626576462.0,7552161112.0,9202620037.0,11858048667.0,10946280131.0,10906792925.0,12330874406.0,10896306679.0,11864599956.0,12708641492.0,13212532826.0,12801736450.0
26,Brazil,BRA,433476000000.0,475296000000.0,565379000000.0,752405000000.0,939516000000.0,1190700000000.0,1424240000000.0,1435920000000.0,1861240000000.0,2211000000000.0,2090690000000.0,2134580000000.0,2110200000000.0,1563370000000.0,1557750000000.0,1782130000000.0,1626200000000.0,1602260000000.0
28,Brunei Darussalam,BRN,4481335642.0,4922853088.0,5672575204.0,6494296892.0,7596996243.0,8927393342.0,10344730841.0,8225690807.0,10273753413.0,12513468302.0,13399429744.0,13590144768.0,13266413328.0,10926361992.0,10191288384.0,10351474935.0,10106674254.0,10598249212.0
29,Bulgaria,BGR,14557842253.0,18436966273.0,22722347682.0,25444092632.0,28381787107.0,34809537106.0,44756299843.0,42877991214.0,41562995085.0,47089955334.0,45605708589.0,46652279994.0,47988549384.0,41775433725.0,44464117680.0,49326559297.0,54482089393.0,57001320707.0
30,Burkina Faso,BFA,3351244908.0,4382827465.0,5021121712.0,5640503482.0,6012086801.0,7004137838.0,8614477732.0,8434362088.0,8677201105.0,10009602637.0,10801583106.0,11617976228.0,11920921047.0,10197295033.0,11105521186.0,12195494854.0,13834854595.0,13670353375.0
31,Burundi,BDI,480162710.2,326111627.7,464024055.5,618138258.4,770885494.1,711727491.7,845147363.4,972517066.5,1255369369.0,1358427262.0,1600427745.0,1716885593.0,1898325412.0,2227020039.0,1882760712.0,1869717163.0,1955690482.0,1910726313.0
32,Cabo Verde,CPV,525137206.6,694238352.1,786276065.1,810029757.5,914655002.1,1283265331.0,1486833222.0,1445822176.0,1365795761.0,1544169635.0,1451281160.0,1558015800.0,1543716078.0,1341988711.0,1400975584.0,1488025192.0,1677416760.0,1692359918.0
33,Cambodia,KHM,3786831733.0,4136209389.0,4718206002.0,5567489462.0,6425671112.0,7685603398.0,9176496842.0,9086263058.0,9759328101.0,11146228237.0,12151844172.0,13288174708.0,14298247841.0,15283173041.0,16872080482.0,18598882699.0,20428535255.0,22749428250.0
