Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Afghanistan,AFG,..,..,598.2152448,586.6136889,575.6807964,526.9302355,489.0097404,494.9349203,458.3445658,467.1869473,475.0847373,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Albania,ALB,471.9799969,1037.505398,3503.24351,3760.376907,3844.337544,3267.217515,3443.310224,3712.733017,4318.911492,4337.131083,4208.456611,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Algeria,DZA,1882.5378,1291.259609,4125.58133,4096.060521,4141.515703,3319.406764,3292.146148,3362.944391,3264.69429,3177.320626,2760.23351,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Angola,AGO,553.7623553,208.2162622,2835.320063,3158.544114,3583.800549,3199.012702,2688.630467,2936.850718,2051.814728,1738.059253,1103.908798,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Argentina,ARG,3691.320689,6410.963556,10831.52072,10851.07172,10231.59767,11707.87041,10797.54392,12493.77204,9813.558914,8262.878744,7211.955933,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Armenia,ARM,..,524.802817,3291.408343,3551.641014,3675.977522,3288.583984,3245.412455,3630.471703,3859.70294,4216.371446,3811.233531,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Aruba,ABW,10393.94225,18607.65953,21165.6366,22168.22417,23163.63776,24192.6166,24118.0318,24565.93464,24994.14735,..,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Australia,AUS,14148.35704,17175.41422,53382.55281,53834.80701,48664.38619,44267.57913,39055.24183,42000.8897,43990.13708,42364.65081,40200.57918,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Austria,AUT,18368.24663,20326.24414,40004.46819,41654.5422,42460.55014,35786.83008,37214.44155,38311.84529,41596.61338,40682.03813,38848.20149,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Azerbaijan,AZE,..,391.5709534,5190.102421,5591.728908,6039.289026,4460.663277,3018.599527,3198.105743,3372.911412,3606.324368,3489.805088,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,"Bahamas, The",BHS,10373.92462,22777.23996,25441.88223,24500.66178,25315.00594,26221.44459,26283.05271,27328.05122,27618.83924,28916.04257,21675.92199,..
