,Country Name,Country Code,NetIncomeMean,GdpMean,InflMean,LifeExpMean,SuicideMean,UnempMean
0,Albania,ALB,10948438940.6,13365200472.4,2277370027.0264864,79.0034,4.6,14.000000191999998
1,Algeria,DZA,134994200000.0,168557600000.0,33195800003.64212,75.9274,2.56,10.535199928
2,Angola,AGO,75497090903.8,70626923115.4,17443860096.45037,61.6038,6.159999999999999,7.410800075399999
3,Armenia,ARM,10392423379.0,11740832933.4,2110667535.305925,74.90180000000001,4.0600000000000005,18.170000076
4,Australia,AUS,1040772400000.0,1340840000000.0,270124000001.3496,82.599512196,12.68,5.562000083999999
5,Austria,AUT,340093000000.0,418936200000.0,76394200001.30043,81.612682926,15.439999999999998,5.313999939
6,Azerbaijan,AZE,34737682072.6,45418924965.0,10614874103.251682,72.31299999999999,4.040000000000001,4.9420000076
7,"Bahamas, The",BHS,10881468868.2,12400540000.0,2372380001.1857862,73.0568,3.5,10.912199974200002
8,Bahrain,BHR,26856739735.0,35042942340.4,6210127661.0534,79.7054,8.14,1.1945999862
9,Bangladesh,BGD,243706400000.0,285337400000.0,39015800004.47024,71.7484,3.5200000000000005,4.387400054999999
10,Barbados,BRB,4234872263.0,4992125010.0,944938242.7432432,76.94500000000001,0.6,8.6799999238
11,Belarus,BLR,46461531799.4,56668979386.0,11290946885.067774,73.996585366,23.16,5.2500000954
12,Belgium,BEL,414094000000.0,504058800000.0,92467200001.51796,81.50292683,18.76,6.9419999124
13,Belize,BLZ,1421073570.4,2297300000.0,442100000.4536266,73.5564,6.48,6.906999969599999
14,Benin,BEN,11425979248.2,12912995416.8,2277632199.583028,59.8732,7.959999999999999,1.6838000057999998
15,Bhutan,BTN,1870433616.0,2319091748.8,400719645.3249511,70.86240000000001,4.56,2.4684000494
16,Bolivia,BOL,31366880759.0,37126587477.4,6600039651.711515,67.6472,6.38,3.5199999808
17,Botswana,BWA,12296763480.6,15689265956.4,2706147634.026824,65.38419999999999,17.54,21.569399644
18,Brazil,BRA,1626342000000.0,1890328000000.0,360442000003.9166,74.8096,6.48,11.422000121
19,Brunei Darussalam,BRN,10434809755.4,12699225639.8,2586078987.419066,74.73299999999999,2.72,8.221599960199999
20,Bulgaria,BGR,49409904160.4,59842950817.6,10156399344.036243,74.863414634,9.84,6.4620000838
21,Burkina Faso,BFA,12200703808.6,14168141305.2,2366431855.329319,59.5586,7.720000000000001,4.5402000426
22,Burundi,BDI,1969182941.8,2738458270.0,620800725.8217509,61.32039999999999,6.340000000000001,1.5910000086
23,Cabo Verde,CPV,1520153233.0,1795588609.6,319360057.74805224,75.73840000000001,13.86,12.087400054
24,Cambodia,KHM,18786419945.4,22381009185.0,3609990859.8666863,70.373,5.0,0.3080000046
25,Cameroon,CMR,29347365225.6,36353587470.4,6442046583.406302,60.693000000000005,9.12,3.5962000370000005
26,Canada,CAN,1333186000000.0,1640224000000.0,311302000001.4486,81.959512196,12.34,6.3479999542000005
27,Central African Republic,CAF,1703749082.0,2007094814.4,339165144.2847373,53.8736,13.5,5.6267999648
28,Chad,TCD,7785416748.4,10720536841.4,2190078444.1946287,52.4128,6.639999999999999,1.1093999862
29,Chile,CHL,213031000000.0,268429800000.0,48499400002.19227,80.1268,9.42,6.9460000038
30,China,CHN,9442286000000.0,12556000000000.0,2212320000001.7134,77.43100000000001,8.120000000000001,4.480000114400001
31,Colombia,COL,257017600000.0,309099800000.0,58696400003.71828,76.57480000000001,4.18,8.985999870400002
32,"Congo, Rep.",COG,5485519922.4,11924959829.0,2378051828.5998955,63.474,6.62,20.56020012
33,Costa Rica,CRI,54198816815.8,60528562494.2,11288383531.785118,79.3666,7.159999999999999,9.3720001216
34,Cote d'Ivoire,CIV,48727092526.2,52383584526.0,9162927594.33232,58.49399999999999,9.34,3.1259999752
35,Croatia,HRV,46986554545.2,56721787650.6,10048556613.655262,77.92390244,16.5,11.108000184200002
36,Cyprus,CYP,19408920088.2,23088769470.0,3981838011.957692,81.22579999999999,4.16,10.8699999816
