,Country Name,Country Code,Happiness Score,Life Expectancy,Suicide Rate,Unemployment Rate,Net National Income per capita,GDP,Inflation
1,Albania,ALB,5.199,79.0034,4.6,14.000000191999998,10948438941.0,13365200472.0,1.726728005
2,Algeria,DZA,5.122,75.9274,2.56,10.535199928,134994000000.0,168558000000.0,4.599003227
4,Armenia,ARM,5.399,74.90180000000001,4.0600000000000005,18.170000076,10392423379.0,11740832933.0,1.452263466
5,Australia,AUS,7.162,82.599512196,12.68,5.562000083999999,1040770000000.0,1340840000000.0,1.651234779
6,Austria,AUT,7.163,81.612682926,15.439999999999998,5.313999939,340093000000.0,418936000000.0,1.479739932
7,Azerbaijan,AZE,5.173,72.31299999999999,4.040000000000001,4.9420000076,34737682073.0,45418924965.0,6.85721955
8,Bahrain,BHR,6.647,79.7054,8.14,1.1945999862,26856739735.0,35042942340.0,1.823125727
9,Bangladesh,BGD,5.155,71.7484,3.5200000000000005,4.387400054999999,243706000000.0,285337000000.0,5.709098782
10,Belarus,BLR,5.821,73.996585366,23.16,5.2500000954,46461531799.0,56668979386.0,8.374673188
11,Belgium,BEL,6.805,81.50292683,18.76,6.9419999124,414094000000.0,504059000000.0,1.630247446
12,Benin,BEN,4.623,59.8732,7.959999999999999,1.6838000057999998,11425979248.0,12912995417.0,0.226785042
13,Bolivia,BOL,5.6,67.6472,6.38,3.5199999808,31366880759.0,37126587477.0,2.923437541
15,Botswana,BWA,3.471,65.38419999999999,17.54,21.569399644,12296763481.0,15689265956.0,3.039230079
16,Brazil,BRA,6.293,74.8096,6.48,11.422000121,1626340000000.0,1890330000000.0,5.722648879
17,Bulgaria,BGR,5.371,74.863414634,9.84,6.4620000838,49409904160.0,59842950818.0,1.415317447
18,Burkina Faso,BFA,4.67,59.5586,7.720000000000001,4.5402000426,12200703809.0,14168141305.0,0.274286618
19,Cambodia,KHM,4.64,70.373,5.0,0.3080000046,18786419945.0,22381009185.0,2.311473488
20,Cameroon,CMR,5.048,60.693000000000005,9.12,3.5962000370000005,29347365226.0,36353587470.0,1.543499629
21,Canada,CAN,7.025,81.959512196,12.34,6.3479999542000005,1333190000000.0,1640220000000.0,1.673675947
22,Chad,TCD,4.251,52.4128,6.639999999999999,1.1093999862,7785416748.0,10720536841.0,1.070053861
23,Chile,CHL,6.172,80.1268,9.42,6.9460000038,213031000000.0,268430000000.0,3.062024026
24,China,CHN,5.585,77.43100000000001,8.120000000000001,4.480000114400001,9442290000000.0,12556000000000.0,2.000837239
25,Colombia,COL,5.781,76.57480000000001,4.18,8.985999870400002,257018000000.0,309100000000.0,4.716238663
28,Costa Rica,CRI,6.582,79.3666,7.159999999999999,9.3720001216,54198816816.0,60528562494.0,1.34551421
29,Croatia,HRV,6.125,77.92390244,16.5,11.108000184200002,46986554545.0,56721787651.0,0.362363691
30,Cyprus,CYP,6.221,81.22579999999999,4.16,10.8699999816,19408920088.0,23088769470.0,-0.261707134
32,Denmark,DNK,7.636,81.012682926,11.04,5.65,283347000000.0,330250000000.0,0.684181473
33,Dominican Republic,DOM,5.737,73.1624,5.720000000000001,6.5880001072,72221551919.0,80272839769.0,2.221101479
34,Ecuador,ECU,5.533,76.98299999999999,8.540000000000001,3.8799999238,81429305153.0,103839000000.0,1.230831145
35,"Egypt, Arab Rep.",EGY,4.288,71.0708,3.1,10.9719999316,256882000000.0,290067000000.0,15.44899406
36,El Salvador,SLV,6.12,72.25280000000001,6.160000000000001,4.1980000494,20462612184.0,25102170000.0,0.410134555
37,Estonia,EST,6.341,78.042926828,16.1,5.706000042,22295188240.0,27118919715.0,1.757436118
38,Eswatini,SWZ,4.396,57.906600000000005,31.24,22.88619995,3358320838.0,4288547704.0,5.286594539
39,Ethiopia,ETH,4.241,64.8258,5.44,2.3010000228,65164026333.0,80167736877.0,11.30536316
40,Finland,FIN,7.821,81.651707316,15.32,8.1780000686,208378000000.0,255035000000.0,0.602137124
41,France,FRA,6.687,82.594634148,14.66,9.448000144400002,2188760000000.0,2605430000000.0,0.8424404
42,Gabon,GAB,4.958,66.072,8.919999999999998,20.69880066,9766551942.0,15415643791.0,2.326694371
43,"Gambia, The",GMB,5.164,63.0594,4.9,9.484799957399998,1158688946.0,1570389083.0,7.141616381
44,Georgia,GEO,4.973,73.4494,9.88,14.257999992,13238245852.0,16281196954.0,3.928393106
45,Germany,DEU,7.034,80.96195122,12.82,3.8019999982,3108430000000.0,3676190000000.0,1.13870008
46,Ghana,GHA,4.872,63.988,6.94,5.029799938200001,46660750932.0,60322988545.0,12.38578619
48,Guatemala,GTM,6.262,72.5728,5.8,2.4039999960000005,59588092018.0,70078498342.0,3.742708945
50,Honduras,HND,6.022,72.69239999999999,2.44,5.9520000456,20002130212.0,22998275597.0,3.706005047
52,Hungary,HUN,6.086,75.966829268,18.08,4.6420000076,115211000000.0,144290000000.0,1.774040344
54,India,IND,3.777,70.36799999999998,12.34,5.3631999018,2203990000000.0,2516870000000.0,4.170339072
55,Indonesia,IDN,5.24,70.0578,2.4,4.142000102999999,783160000000.0,993944000000.0,3.985331485
56,"Iran, Islamic Rep.",IRN,4.888,75.7986,5.88,11.789999771999998,279916000000.0,393645000000.0,17.13929907
57,Iraq,IRQ,4.941,70.3862,3.86,12.078800009999998,151716000000.0,196319000000.0,0.460477339
58,Ireland,IRL,7.041,82.034146342,9.760000000000002,7.1359998702,187071000000.0,342461000000.0,0.297274694
59,Israel,ISR,7.364,82.523414632,5.1,4.4139999866,301315000000.0,352585000000.0,0.145196026
60,Italy,ITA,6.467,83.115609756,6.839999999999999,11.0719997418,1614250000000.0,1955750000000.0,0.584008298
62,Jamaica,JAM,5.85,71.977,2.28,11.0240000716,13281619510.0,14927319548.0,3.612540349
63,Japan,JPN,6.039,84.089170732,17.119999999999997,2.8200000284,3849520000000.0,4908120000000.0,0.522018268
64,Jordan,JOR,4.152,75.50919999999999,1.5399999999999998,16.315999794,38633817007.0,41690571586.0,1.378487557
65,Kazakhstan,KAZ,6.234,72.732,20.46,4.8880000114,121517000000.0,169896000000.0,7.983282408
66,Kenya,KEN,4.543,62.431,5.720000000000001,3.6618000504,67954859317.0,83910858367.0,6.162146895
68,Kuwait,KWT,6.106,79.69019999999999,2.72,2.1778000356,116402000000.0,123815000000.0,2.055382718
69,Kyrgyz Republic,KGZ,5.828,71.16048780400001,8.44,7.092800044800001,5916211876.0,7667267984.0,2.548750116
71,Latvia,LVA,6.18,74.77219511999999,20.5,8.3900000572,23758424419.0,30920695717.0,1.718220429
73,Lesotho,LSO,3.512,52.867,81.33999999999999,23.1538002,2222963715.0,2357681286.0,4.840307205
76,Lithuania,LTU,6.446,75.287317072,30.18,7.2920001032,40263157695.0,48148900215.0,1.755350693
77,Luxembourg,LUX,7.404,82.401463414,10.820000000000002,5.932000065,37046950231.0,65765330321.0,1.153578417
78,Madagascar,MDG,4.339,65.1164,5.5,1.8235999822,10297216789.0,12842529154.0,7.250749016
79,Malawi,MWI,3.75,62.7918,5.840000000000001,5.7901999474000005,7006144858.0,8331168682.0,15.38257377
80,Malaysia,MYS,5.711,75.45259999999999,5.279999999999999,3.3019999980000003,231556000000.0,329138000000.0,1.922751716
81,Mali,MLI,4.479,59.0566,4.159999999999999,7.5159999846,13107472908.0,15369528449.0,0.010436099
83,Mauritania,MRT,4.153,65.0666,3.06,10.303399848,6108063549.0,6981083050.0,2.469550375
84,Mauritius,MUS,6.071,74.38297560999999,8.76,6.7459999084,12678338275.0,13497399926.0,1.910586178
85,Mexico,MEX,6.128,74.2898,5.5600000000000005,3.6699999808,925078000000.0,1180140000000.0,4.023823462
86,Moldova,MDA,5.857,70.22,15.22,4.4059999468,9003618852.0,9783048240.0,6.097723355
87,Mongolia,MNG,5.761,70.5242,19.160000000000004,5.855800056600001,9082752211.0,12333308814.0,4.979140707
89,Morocco,MAR,5.06,73.624,7.220000000000001,9.3093999862,96698297267.0,119358000000.0,1.211036851
91,Myanmar,MMR,4.394,66.0328,3.04,0.975399995,56039508978.0,64125783874.0,7.330585866
93,Nepal,NPL,5.377,68.7358,8.7,3.1151999952,27387710769.0,29030839935.0,5.98323945
94,Netherlands,NLD,7.415,81.751219512,11.8,4.9860000612,701557000000.0,841548000000.0,1.327114115
95,New Zealand,NZL,7.2,81.65873170799999,11.8,4.7479999542,164260000000.0,199783000000.0,1.201532305
96,Nicaragua,NIC,6.165,73.5394,4.38,4.4621999262,11287383439.0,13090115218.0,4.338950399
97,Niger,NER,5.003,62.0446,5.32,0.5409999966,11472316626.0,11398589646.0,0.87039661
98,Nigeria,NGA,4.552,52.3306,3.6,7.349200057999999,354979000000.0,428656000000.0,12.93995885
100,North Macedonia,MKD,5.199,76.001463414,9.32,22.033999632,9174777645.0,11466690837.0,0.607432038
101,Norway,NOR,7.365,82.60780488,12.2,4.125999974999999,323226000000.0,398993000000.0,2.505759726
102,Pakistan,PAK,4.516,66.2224,9.0,3.777399969,267812000000.0,320086000000.0,5.207248015
104,Panama,PAN,6.309,77.7178,3.04,3.7315999508,52682693656.0,61223200000.0,0.431861308
105,Paraguay,PRY,5.578,73.5116,5.82,5.446000004,33656076420.0,37889812841.0,3.510202079
106,Peru,PER,5.559,75.8908,2.72,3.5140000344,175350000000.0,208726000000.0,2.742289037
107,Philippines,PHL,5.904,71.545,2.22,2.5799999714000004,339100000000.0,335444000000.0,2.496498205
108,Poland,POL,6.123,77.712682926,13.4,5.1359999178,448845000000.0,531324000000.0,0.915494541
109,Portugal,PRT,6.016,81.33463414399999,11.96,9.165999793,177574000000.0,221896000000.0,0.759168782
110,Romania,ROU,6.477,75.27951219600001,10.34,5.1480000018,173794000000.0,213530000000.0,1.530681373
111,Russian Federation,RUS,5.459,72.206439022,28.68,5.138000011600001,1177720000000.0,1512980000000.0,6.721769194
112,Rwanda,RWA,3.268,65.9328,5.640000000000001,1.1276000024,7453446828.0,9296381031.0,4.203809795
113,Saudi Arabia,SAU,6.523,77.1316,6.18,5.768599987,587589000000.0,721597000000.0,0.56030545
114,Senegal,SEN,5.046,67.74980000000001,6.2,4.2090000628,18185542618.0,20865470695.0,0.902040169
117,Singapore,SGP,6.48,83.11560975600001,9.54,3.7625998974,259075000000.0,344500000000.0,0.105050818
118,Slovak Republic,SVK,6.391,77.16536585399999,12.260000000000002,8.313999938399999,78268260961.0,97272309783.0,1.129062874
119,Slovenia,SVN,6.63,81.177560976,19.7,6.6159999848,38366504853.0,48994559953.0,0.843537367
120,South Africa,ZAF,5.194,65.18960000000001,24.34,26.822000124,302916000000.0,368887000000.0,4.986739289
122,Spain,ESP,6.476,83.341463416,7.88,17.651999664,1110300000000.0,1311800000000.0,0.725522597
123,Sri Lanka,LKA,4.362,75.48339999999999,14.5,4.296000004,76142409861.0,90207662081.0,4.218965059
124,Sweden,SWE,7.384,82.51804878200001,14.98,6.865999889399999,448970000000.0,530223000000.0,1.293933964
125,Switzerland,CHE,7.512,83.54195122,14.54,4.7240000724,544408000000.0,704830000000.0,0.05089643
