,Country Name,Country Code,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,Albania,ALB,7.770525834,0.484002612,2.280019169,2.366581957,2.370728319,2.932682482,3.320870904,2.266922095,3.626046956,3.429123247,2.031592684,1.937620802,1.625865044,3.501208355,-0.36731721,2.060598459,2.028059631,1.41109079
2,Algeria,DZA,1.418301923,4.268953958,3.961800303,1.382446567,2.311499185,3.678995747,4.858590628,5.737060361,3.911061955,4.524211505,8.891450911,3.25423911,2.916926921,4.784447007,6.397694803,5.59111591,4.269990205,1.951768211
5,Angola,AGO,108.8974361,98.22414366,43.54210675,22.95351385,13.30521018,12.25149745,12.47582913,13.73028393,14.46965649,13.48246792,10.27790492,8.777814293,7.280387304,9.353839725,30.69895786,29.84257779,19.63059436,17.07970441
6,Antigua and Barbuda,ATG,2.407658013,1.993530552,2.030077579,2.098751967,1.787785374,1.416052594,5.333806398,-0.550159996,3.370025402,3.456749672,3.376880443,1.059497824,1.089441574,0.968993459,-0.489437796,2.43248789,1.207157934,1.431355982
8,Armenia,ARM,1.060049293,4.721553366,6.961261359,0.638928002,2.892356625,4.407360896,8.949953354,3.406766827,8.176361385,7.650008079,2.558020078,5.789667785,2.981308689,3.731691193,-1.403607559,0.969553269,2.52023382,1.443446608
9,Aruba,ABW,3.315246786,3.656365079,2.529129469,3.397786778,3.608024388,5.392567845,8.955987052,-2.13542872,2.078140719,4.316297422,0.627471993,-2.372065243,0.421440919,0.474763597,-0.931195987,-1.028281788,3.626041414,4.257462043
10,Australia,AUS,2.981574539,2.732595966,2.343255225,2.691831683,3.555287737,2.327611289,4.35029855,1.771117166,2.918340027,3.303850156,1.762780156,2.449888641,2.487922705,1.508366722,1.276990945,1.948647409,1.911400944,1.610767873
11,Austria,AUT,1.810357878,1.355553709,2.06120618,2.299137856,1.441548511,2.168555288,3.215950332,0.506308828,1.81353439,3.286579149,2.485675622,2.000156169,1.60581183,0.896563335,0.891591753,2.081269114,1.998379814,1.530895642
12,Azerbaijan,AZE,2.77116472,2.23386493,6.708930428,9.679507319,8.328924829,16.69975496,20.84908718,1.45704836,5.726872247,7.858333333,1.066213397,2.415717453,1.373441815,4.027685737,12.44337486,12.93591842,2.268546904,2.610571828
13,"Bahamas, The",BHS,2.173577925,3.025045263,0.981914037,1.591606181,2.389826274,2.492577949,4.489559954,2.062734735,1.344027384,3.198781417,1.97336756,0.722414785,1.513756431,1.861483029,-0.34637693,1.518207007,2.265863467,2.491235274
14,Bahrain,BHR,-0.495540139,1.593625498,2.352941176,2.586206897,2.007469655,3.256666667,3.526003164,2.795512836,1.961884683,-0.400040697,2.7573967,3.300011569,2.647553212,1.848627424,2.786793476,1.386718306,2.08766938,1.005820047
15,Bangladesh,BGD,3.332564933,5.668707734,7.587536385,7.046618162,6.765261171,9.106984969,8.901944895,5.423472362,8.126676392,11.39516516,6.217504221,7.530406409,6.991638892,6.19428023,5.513525727,5.702070157,5.543621395,5.591996399
16,Barbados,BRB,0.125249458,1.619433198,1.394422311,6.082187295,7.307662628,4.034229829,8.108108108,3.643861893,5.824218533,9.432202402,4.533347539,1.81410436,1.769503221,-1.112789925,1.281928131,4.66018464,3.673814104,4.100289645
17,Belarus,BLR,42.53754813,28.39783991,18.10824249,10.33887945,6.997129035,8.426752735,14.83787648,12.94565634,7.735748043,53.22869831,59.21973602,18.31226104,18.11955435,13.53448976,11.83658077,6.031837252,4.872302206,5.59815595
18,Belgium,BEL,1.645214362,1.588964,2.097283112,2.781432637,1.791207701,1.8230563,4.489444205,-0.053145674,2.189299204,3.532082107,2.839663434,1.11309594,0.340002833,0.561429153,1.973852647,2.12597086,2.053164999,1.43681957
19,Belize,BLZ,4.240266607,2.318082747,6.394430997,-1.104310444,-7.113767713,2.318082746,6.394431003,-1.104310449,0.917977379,1.602056156,1.300580745,0.509747769,1.201399645,-0.861584009,0.663427168,1.147653393,0.269982623,0.187069385
20,Benin,BEN,2.489162355,1.487242461,0.873890831,5.364520858,3.782176965,1.298068133,7.947298761,0.896072356,2.207835325,2.704239077,6.744682533,0.428888889,-0.548757551,0.218785924,-0.794050174,1.769412474,0.644803622,-0.705026635
22,Bhutan,BTN,2.455357143,2.572308617,4.105936983,5.312631046,5.00045438,5.156111388,8.327160494,4.361122191,7.036383161,8.848985699,10.91965694,7.006666667,8.271060939,4.548143951,3.219886894,4.95508367,2.723963862,2.725821043
23,Bolivia,BOL,0.928258852,3.337274997,4.437380801,5.393231069,4.282396048,8.705609236,14.00681077,3.346454201,2.503276058,9.884464198,4.515602914,5.736400237,5.766600746,4.059610411,3.623214318,2.822758055,2.272059872,1.83954505
25,Botswana,BWA,8.032796625,9.189902656,6.945703637,8.610225285,11.55521879,7.080998472,12.70218839,8.027297031,6.948876587,8.459872334,7.536902611,5.884607071,4.402253092,3.062031696,2.814957914,3.308280768,3.238015589,2.772864429
26,Brazil,BRA,8.450164377,14.71491972,6.5971851,6.869537209,4.183568129,3.641272991,5.678593903,4.888034799,5.038726901,6.636449622,5.40349914,6.204310666,6.329040155,9.029901024,8.739143523,3.44637335,3.664850284,3.732976212
28,Brunei Darussalam,BRN,-2.314972425,0.3,0.814223995,1.244437119,0.159888078,0.96777412,2.084980237,1.035717743,0.356869132,0.137911563,0.111766261,0.389205053,-0.207108732,-0.488347421,-0.278693266,-1.260505646,1.025051793,-0.390522069
29,Bulgaria,BGR,5.810143657,2.348641696,6.147130742,5.038838071,7.261594628,8.40253419,12.3487196,2.753202239,2.438990605,4.219903466,2.954568298,0.890093541,-1.418183803,-0.104633261,-0.798649886,2.061596194,2.814544738,3.103729448
30,Burkina Faso,BFA,2.175694807,2.034565741,-0.400228702,6.415040184,2.333108564,-0.230627306,10.6597979,2.608176664,-0.764230735,2.759767249,3.818152403,0.533738507,-0.258089518,0.724838981,0.441041448,1.482998972,1.955943027,-3.23338934
31,Burundi,BDI,-1.365680053,10.64746457,8.176429375,13.25206992,2.745420002,8.412062858,24.40695104,10.55543553,6.493265915,9.59216606,18.16104531,7.937958075,4.405352342,5.544688913,5.557689614,16.0525353,-2.814698077,-0.686772171
32,Cabo Verde,CPV,1.884534101,1.188170386,-1.890821723,0.418891613,5.369076871,4.410997042,6.774435464,0.991103481,2.078664709,4.473883422,2.540396442,1.506542857,-0.238778145,0.131187999,-1.407816371,0.784415251,1.256995667,1.106666743
33,Cambodia,KHM,0.211466568,0.941746118,4.319336774,6.61525912,5.810685505,8.708827706,24.09685193,-1.241717542,3.996395281,5.478447496,2.934316093,2.941625095,3.855688614,1.223931955,3.019139751,2.912635574,2.459085154,1.942575008
34,Cameroon,CMR,2.834422601,0.623163557,0.23364738,2.013539502,5.11757816,0.921402246,5.337806276,3.043618479,1.275380462,2.939699463,2.742534075,2.05908684,1.834130781,2.685982772,0.861740258,0.642673522,1.074299452,2.452802141
35,Canada,CAN,2.258394409,2.758563214,1.857258719,2.213552034,2.002025395,2.138383993,2.370270674,0.299466803,1.776871541,2.912135089,1.515678231,0.938291898,1.906635907,1.125241361,1.428759547,1.596884129,2.268225672,1.949269024
37,Central African Republic,CAF,2.331817035,4.134709052,-2.066406011,2.883520734,6.695264658,0.959917619,9.258950994,3.521262272,1.4910237,1.194475724,5.478295943,6.98879342,14.89868418,1.402970171,4.945432761,4.180723319,1.61215687,2.685373553
38,Chad,TCD,5.191818952,-1.752569412,-5.355400289,7.890365675,8.03628898,-8.97473962,10.29697582,9.952422907,-2.077865746,2.029240537,7.516623647,0.222671565,1.681973139,4.377126651,-0.792440525,-1.53709963,4.274621986,-0.971939175
40,Chile,CHL,2.489398167,2.810178757,1.054738714,3.052576214,3.392017337,4.407799384,8.71626873,0.353045178,1.41071108,3.341216943,3.007448402,1.78955554,4.718675279,4.348773532,3.786193559,2.182718469,2.434889814,2.557544757
41,China,CHN,-0.731970902,1.127603487,3.824637431,1.776414077,1.649430995,4.816767674,5.92525137,-0.728165251,3.175324753,5.553898923,2.619524326,2.621050017,1.921641628,1.437023809,2.000001822,1.593136001,2.0747904,2.899234164
42,Colombia,COL,6.351507288,7.129788629,5.904020055,5.051019627,4.293423636,5.544384858,6.996884956,4.202516612,2.272002279,3.415033448,3.169301888,2.016992243,2.898837878,4.989831158,7.513460246,4.314313257,3.240569329,3.523019327
45,"Congo, Rep.",COG,4.378759718,-0.631844987,2.42976608,3.094490115,6.537843953,2.654646451,4.95875092,4.415003748,0.391525011,1.759587043,5.010187731,4.631616197,0.912139545,3.169097968,3.190561797,0.450063823,1.152778964,2.206073058
46,Costa Rica,CRI,9.167520485,9.447580916,12.31481502,13.79829491,11.47059681,9.357244564,13.42446355,7.842701677,5.662757084,4.87799831,4.495453144,5.231336142,4.519200985,0.801982005,-0.017478851,1.62590693,2.221114615,2.096046353
47,Cote d'Ivoire,CIV,3.077264852,3.29680747,1.457988356,3.885830399,2.467191486,1.892006293,6.308527692,1.019504577,1.226456121,4.912433951,1.304511199,2.581170373,0.448682077,1.251499548,0.723178458,0.685881065,0.359409031,-1.10686344
48,Croatia,HRV,1.671784374,1.767337808,2.055396791,3.317178244,3.189825915,2.899282756,6.076968388,2.378528459,1.030555053,2.272727273,3.412073491,2.216582064,-0.21519616,-0.464499005,-1.125,1.129372103,1.50012501,0.771820346
50,Curacao,CUW,0.391389432,1.633713914,1.379121381,4.117117117,3.114995241,2.995720399,6.876323937,1.753316054,2.779442613,2.332531526,3.183987463,1.332320862,1.498739696,-0.47654205,-0.047207985,1.585588017,2.583687566,2.622207834
51,Cyprus,CYP,2.801155052,4.139065387,2.286217068,2.560161323,2.30468733,2.372651837,4.669008419,0.326276652,2.430040841,3.289449396,2.3890541,-0.399357676,-1.354988854,-2.096997691,-1.429166667,0.531766496,1.435491195,0.250370997
52,Czechia,CZE,1.90298097,0.118739206,2.760107817,1.857097891,2.533992583,2.853124372,6.358663802,1.019377353,1.472727273,1.917219136,3.287623066,1.438297872,0.34398859,0.309364548,0.683504209,2.450533985,2.149494949,2.847875959
53,Denmark,DNK,2.424436612,2.075078206,1.154356931,1.817814583,1.924221385,1.693265862,3.416267943,1.30470991,2.31092437,2.758682261,2.397914857,0.78907178,0.56402054,0.452034154,0.25,1.14713217,0.813609467,0.758131573
54,Djibouti,DJI,0.637619554,1.981967346,3.122262047,3.104966401,3.483406997,4.965976546,11.95862069,1.675495873,3.950078759,5.068713948,3.731209508,2.706032429,1.341864943,-0.847389734,2.738412087,0.568112117,0.14797085,3.319253727
55,Dominica,DMA,0.17005533,1.453368004,2.394109821,1.681900799,2.202391326,3.632221293,6.359921833,0.006263571,2.999366305,1.131231365,1.356771478,-0.046411647,0.799250373,-0.843826985,0.141816226,0.296252889,0.989191119,1.504623539
