Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Afghanistan,AFG,45.967,55.298,61.923,62.417,62.545,62.659,63.136,63.016,63.081,63.565,62.575,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Albania,ALB,73.144,75.404,78.064,78.123,78.407,78.644,78.86,79.047,79.184,79.282,76.989,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Algeria,DZA,67.416,70.478,74.202,74.615,75.11,75.622,75.732,75.743,76.066,76.474,74.453,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Angola,AGO,41.893,46.024,58.623,59.307,60.04,60.655,61.092,61.68,62.144,62.448,62.261,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Antigua and Barbuda,ATG,73.492,74.606,77.35,77.583,77.858,77.913,78.152,78.268,78.511,78.691,78.841,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Argentina,ARG,71.784,73.926,76.467,76.491,76.755,76.76,76.308,76.833,76.999,77.284,75.892,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Armenia,ARM,68.821,70.624,73.454,73.676,74.058,74.436,74.664,74.906,75.064,75.439,72.173,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Aruba,ABW,73.076,73.569,75.531,75.636,75.601,75.683,75.617,75.903,76.072,76.248,75.723,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Australia,AUS,76.99463415,79.23414634,82.04634146,82.14878049,82.3,82.4,82.44878049,82.5,82.74878049,82.9,83.2,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Austria,AUT,75.56829268,78.12682927,80.93658537,81.13658537,81.4902439,81.1902439,81.64146341,81.64390244,81.69268293,81.89512195,81.19268293,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Azerbaijan,AZE,62.352,64.891,70.36,70.881,71.116,71.451,72.004,72.248,72.76,73.102,66.868,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Bahamas, The",BHS,70.133,72.041,72.753,73.024,73.366,73.104,73.537,73.632,73.806,71.205,72.677,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bahrain,BHR,72.668,75.496,79.081,79.246,79.328,79.405,79.557,79.689,79.857,80.019,79.174,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bangladesh,BGD,55.989,65.779,69.554,69.565,69.986,70.491,71.09,71.788,72.567,72.806,71.968,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Barbados,BRB,72.752,74.089,76.099,76.275,76.476,76.65,76.815,76.936,77.067,77.257,77.393,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Belarus,BLR,70.83658537,68.91219512,71.96585366,72.47073171,72.97073171,73.62439024,73.82682927,74.12926829,74.17560976,74.22682927,74.22682927,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Belgium,BEL,76.05195122,77.72195122,80.38536585,80.58780488,81.28780488,80.99268293,81.43902439,81.49268293,81.59512195,81.99512195,80.79512195,..
