,Country Name,Country Code,LifeExpMean,SuicideMean,UnempMean
0,Afghanistan,AFG,63.0914,4.06,11.166800120000001
1,Albania,ALB,79.0034,4.6,14.000000191999998
2,Algeria,DZA,75.9274,2.56,10.535199928
3,Angola,AGO,61.6038,6.159999999999999,7.410800075399999
4,Argentina,ARG,76.8368,8.620000000000001,8.608400153999998
5,Armenia,ARM,74.90180000000001,4.0600000000000005,18.170000076
6,Australia,AUS,82.599512196,12.68,5.562000083999999
7,Austria,AUT,81.612682926,15.439999999999998,5.313999939
8,Azerbaijan,AZE,72.31299999999999,4.040000000000001,4.9420000076
9,"Bahamas, The",BHS,73.0568,3.5,10.912199974200002
10,Bahrain,BHR,79.7054,8.14,1.1945999861999999
11,Bangladesh,BGD,71.7484,3.5200000000000005,4.387400054999999
12,Barbados,BRB,76.94500000000001,0.6,8.6799999238
13,Belarus,BLR,73.996585366,23.16,5.2500000954
14,Belgium,BEL,81.50292683,18.759999999999998,6.9419999124
15,Belize,BLZ,73.5564,6.4799999999999995,6.906999969599999
16,Benin,BEN,59.8732,7.959999999999999,1.6838000057999998
17,Bhutan,BTN,70.86240000000001,4.56,2.4684000494
18,Bolivia,BOL,67.6472,6.38,3.5199999808
19,Bosnia and Herzegovina,BIH,76.8518,10.68,21.544000054
20,Botswana,BWA,65.38419999999999,17.54,21.569399644
21,Brazil,BRA,74.8096,6.4799999999999995,11.422000121
22,Brunei Darussalam,BRN,74.73299999999999,2.72,8.221599960199999
23,Bulgaria,BGR,74.863414634,9.84,6.4620000838
24,Burkina Faso,BFA,59.5586,7.720000000000001,4.5402000425999995
25,Burundi,BDI,61.32039999999999,6.340000000000001,1.5910000086
26,Cabo Verde,CPV,75.73840000000001,13.86,12.087400054
27,Cambodia,KHM,70.373,5.0,0.3080000046
28,Cameroon,CMR,60.693000000000005,9.120000000000001,3.5962000370000005
29,Canada,CAN,81.959512196,12.34,6.3479999542000005
30,Central African Republic,CAF,53.873599999999996,13.5,5.6267999648
31,Chad,TCD,52.412800000000004,6.639999999999999,1.1093999862000001
32,Chile,CHL,80.1268,9.42,6.9460000038
33,China,CHN,77.43100000000001,8.120000000000001,4.480000114400001
34,Colombia,COL,76.57480000000001,4.18,8.985999870400002
35,Comoros,COM,63.5476,5.4399999999999995,8.0970001224
36,"Congo, Dem. Rep.",COD,59.437,6.6,4.4620001795999995
37,"Congo, Rep.",COG,63.474000000000004,6.62,20.56020012
38,Costa Rica,CRI,79.3666,7.159999999999999,9.372000121600001
39,Cote d'Ivoire,CIV,58.49399999999999,9.34,3.1259999752
40,Croatia,HRV,77.92390244,16.5,11.108000184200002
41,Cuba,CUB,77.61019999999999,14.14,1.9070000409999999
42,Cyprus,CYP,81.22579999999999,4.16,10.8699999816
43,Denmark,DNK,81.012682926,11.040000000000001,5.65
44,Djibouti,DJI,62.6136,9.46,26.22480011
45,Dominican Republic,DOM,73.1624,5.720000000000001,6.5880001072
46,Ecuador,ECU,76.98299999999999,8.540000000000001,3.8799999238
47,"Egypt, Arab Rep.",EGY,71.0708,3.1,10.9719999316
48,El Salvador,SLV,72.25280000000001,6.160000000000001,4.1980000494
49,Equatorial Guinea,GNQ,60.8476,8.620000000000001,8.624799728400001
50,Eritrea,ERI,66.6532,11.32,5.922799968800001
51,Estonia,EST,78.042926828,16.1,5.706000042
