,Country Name,Country Code,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Afghanistan,AFG,3854235264.0,4539500884.0,5220823685.0,6226199249.0,6971379033.0,9715761650.0,10249767311.0,12154835708.0,15633856787.0,18190410821.0,20203572960.0,20564485419.0,20550582747.0,19998156214.0,18019558182.0,18896352022.0,18418848300.0,18904490263.0
1,Albania,ALB,4348068242.0,5611496257.0,7184685782.0,8052073539.0,8896072919.0,10677324144.0,12881353508.0,12044208086.0,11926922829.0,12890764531.0,12319830437.0,12776220507.0,13228147516.0,11386850130.0,11861199831.0,13019689337.0,15156432310.0,15401830754.0
2,Algeria,DZA,56760355865.0,67863828413.0,85332581189.0,103198000000.0,117027000000.0,134977000000.0,171001000000.0,137211000000.0,161207000000.0,200013000000.0,209059000000.0,209755000000.0,213810000000.0,165979000000.0,160034000000.0,170097000000.0,174911000000.0,171767000000.0
3,American Samoa,ASM,512000000.0,524000000.0,509000000.0,500000000.0,493000000.0,518000000.0,560000000.0,675000000.0,573000000.0,570000000.0,640000000.0,638000000.0,643000000.0,673000000.0,671000000.0,612000000.0,639000000.0,647000000.0
4,Andorra,AND,1755910032.0,2361726862.0,2894921778.0,3159905484.0,3456442103.0,3952600602.0,4085630584.0,3674409558.0,3449966857.0,3629203786.0,3188808943.0,3193704343.0,3271808157.0,2789870188.0,2896679212.0,3000180750.0,3218316013.0,3155065488.0
5,Angola,AGO,15285594828.0,17812704825.0,23552047248.0,36970918699.0,52381006892.0,65266452081.0,88538610805.0,70307166934.0,81699526881.0,109437000000.0,124998000000.0,133402000000.0,137244000000.0,87219300385.0,49840491178.0,68972769396.0,77792944472.0,69309110146.0
6,Antigua and Barbuda,ATG,814381481.5,856396296.3,919729629.6,1022962963.0,1157662963.0,1312759259.0,1370070370.0,1228329630.0,1148700000.0,1137637037.0,1199948148.0,1181448148.0,1249733333.0,1336692593.0,1436585185.0,1467977778.0,1605944444.0,1687533333.0
7,Argentina,ARG,97724004252.0,127587000000.0,164658000000.0,198737000000.0,232557000000.0,287531000000.0,361558000000.0,332976000000.0,423627000000.0,530163000000.0,545982000000.0,552025000000.0,526320000000.0,594749000000.0,557531000000.0,643629000000.0,524820000000.0,447755000000.0
8,Armenia,ARM,2376335048.0,2807061009.0,3576615240.0,4900469950.0,6384451606.0,9206301700.0,11662040714.0,8647936748.0,9260284938.0,10142111334.0,10619320049.0,11121465767.0,11609512940.0,10553337673.0,10546135160.0,11527458566.0,12457941907.0,13619291361.0
9,Aruba,ABW,1962011173.0,2044134078.0,2254748603.0,2359776536.0,2469832402.0,2677653631.0,2843016760.0,2553631285.0,2453631285.0,2637988827.0,2615083799.0,2727932961.0,2791061453.0,2963128492.0,2983798883.0,3092178771.0,3202234637.0,3368970253.0
10,Australia,AUS,395581000000.0,467498000000.0,614326000000.0,695329000000.0,747907000000.0,854427000000.0,1055640000000.0,928627000000.0,1148610000000.0,1398410000000.0,1546890000000.0,1576380000000.0,1467550000000.0,1350620000000.0,1206540000000.0,1326520000000.0,1428290000000.0,1392230000000.0
11,Austria,AUT,214395000000.0,262274000000.0,301458000000.0,316092000000.0,336280000000.0,389186000000.0,432052000000.0,401759000000.0,392275000000.0,431685000000.0,409402000000.0,430191000000.0,442585000000.0,381971000000.0,395837000000.0,417261000000.0,454991000000.0,444621000000.0
12,Azerbaijan,AZE,6235856820.0,7276753895.0,8680370408.0,13245716099.0,20982986344.0,33050343783.0,48852482960.0,44291490421.0,52909294792.0,65951627200.0,69683935845.0,74164435946.0,75244294275.0,53074370486.0,37867518957.0,40865558912.0,47112941176.0,48174235294.0
13,"Bahamas, The",BHS,8881160000.0,8870090000.0,9055290000.0,9836200000.0,10167250000.0,10618340000.0,10526000000.0,9981960000.0,10095760000.0,10070450000.0,10720500000.0,10562800000.0,11176100000.0,11861900000.0,11834600000.0,12357600000.0,12755800000.0,13192800000.0
14,Bahrain,BHR,9593510638.0,11074813830.0,13150159574.0,15968723404.0,18504760638.0,21730000000.0,25710904255.0,22938218085.0,25713271277.0,28776595745.0,30749308511.0,32539468085.0,33387712766.0,31050638298.0,32234973404.0,35473776596.0,37802005319.0,38653318085.0
15,Bangladesh,BGD,54724081491.0,60158929188.0,65108544250.0,69442943089.0,71819083684.0,79611888213.0,91631278239.0,102478000000.0,115279000000.0,128638000000.0,133356000000.0,149990000000.0,172885000000.0,195079000000.0,265236000000.0,293755000000.0,321379000000.0,351238000000.0
