,Country Name,Country Code,NetIncomeMean,GDP,Inflation
0,Albania,ALB,10948438941,13365200472,1.726728005
1,Algeria,DZA,1.34994E+11,1.68558E+11,4.599003227
2,Angola,AGO,75497090904,70626923115,21.32113483
3,Armenia,ARM,10392423379,11740832933,1.452263466
4,Australia,AUS,1.04077E+12,1.34084E+12,1.651234779
5,Austria,AUT,3.40093E+11,4.18936E+11,1.479739932
6,Azerbaijan,AZE,34737682073,45418924965,6.85721955
7,"Bahamas, The",BHS,10881468868,12400540000,1.558082369
8,Bahrain,BHR,26856739735,35042942340,1.823125727
9,Bangladesh,BGD,2.43706E+11,2.85337E+11,5.709098782
10,Barbados,BRB,4234872263,4992125010,2.520685319
11,Belarus,BLR,46461531799,56668979386,8.374673188
12,Belgium,BEL,4.14094E+11,5.04059E+11,1.630247446
13,Belize,BLZ,1421073570,2297300000,0.281309712
14,Benin,BEN,11425979248,12912995417,0.226785042
15,Bhutan,BTN,1870433616,2319091749,3.634579884
16,Bolivia,BOL,31366880759,37126587477,2.923437541
17,Botswana,BWA,12296763481,15689265956,3.039230079
18,Brazil,BRA,1.62634E+12,1.89033E+12,5.722648879
19,Brunei Darussalam,BRN,10434809755,12699225640,-0.278603322
20,Bulgaria,BGR,49409904160,59842950818,1.415317447
21,Burkina Faso,BFA,12200703809,14168141305,0.274286618
22,Burundi,BDI,1969182942,2738458270,4.730688716
23,Cabo Verde,CPV,1520153233,1795588610,0.374289858
24,Cambodia,KHM,18786419945,22381009185,2.311473488
25,Cameroon,CMR,29347365226,36353587470,1.543499629
26,Canada,CAN,1.33319E+12,1.64022E+12,1.673675947
27,Central African Republic,CAF,1703749082,2007094814,2.965331335
28,Chad,TCD,7785416748,10720536841,1.070053861
29,Chile,CHL,2.13031E+11,2.6843E+11,3.062024026
30,China,CHN,9.44229E+12,1.2556E+13,2.000837239
31,Colombia,COL,2.57018E+11,3.091E+11,4.716238663
32,"Congo, Rep.",COG,5485519922,11924959829,2.033715122
33,Costa Rica,CRI,54198816816,60528562494,1.34551421
34,Cote d'Ivoire,CIV,48727092526,52383584526,0.382620932
35,Croatia,HRV,46986554545,56721787651,0.362363691
36,Cyprus,CYP,19408920088,23088769470,-0.261707134
37,Czechia,CZE,1.62355E+11,2.20897E+11,1.68815473
38,Denmark,DNK,2.83347E+11,3.3025E+11,0.684181473
39,Djibouti,DJI,2364395042,2758849744,1.185271809
40,Dominica,DMA,465763287.8,560965185.2,0.417611358
41,Dominican Republic,DOM,72221551919,80272839769,2.221101479
42,Ecuador,ECU,81429305153,1.03839E+11,1.230831145
43,"Egypt, Arab Rep.",EGY,2.56882E+11,2.90067E+11,15.44899406
44,El Salvador,SLV,20462612184,25102170000,0.410134555
45,Estonia,EST,22295188240,27118919715,1.757436118
46,Eswatini,SWZ,3358320838,4288547704,5.286594539
47,Ethiopia,ETH,65164026333,80167736877,11.30536316
48,Fiji,FJI,4152762591,5205840508,2.888053471
49,Finland,FIN,2.08378E+11,2.55035E+11,0.602137124
50,France,FRA,2.18876E+12,2.60543E+12,0.8424404
51,Gabon,GAB,9766551942,15415643791,2.326694371
